current_rms,current_peak,current_crest_factor,current_kurtosis,current_harmonic_energy,current_sideband_ratio,current_envelope_cv,current_envelope_dom_freq,rpm,condition,severity_level,profile,file_id,split
2.5031291972336422,3.884422779083252,1.551826722877972,1.5049537120311873,2643.819878453302,41.08412943984796,0.10058006270329861,6002.0,1577.24072265625,Ball,1,0,ball_0,train
2.5067919226957383,3.884422779083252,1.5495593167964439,1.5049194110866075,22430.37446070501,139.60752010987875,0.11155244521560444,6002.0,1704.533935546875,Ball,1,0,ball_0,train
2.500837026280601,3.906708002090454,1.562160173188395,1.5068701237861477,774.265709946266,110.44665935265272,0.09908329008596033,6002.0,1829.74072265625,Ball,1,0,ball_0,train
2.5023813462052487,3.9100143909454346,1.562517398427222,1.5073319627082222,2522.010525701246,407.4627987733198,0.11078014139809284,6002.0,1954.017578125,Ball,1,0,ball_0,train
2.5074237624758826,4.037556171417236,1.6102408503261807,1.5092911070915636,1423.4149227946848,7512.439758317213,0.1009434863371763,6002.0,2060.869140625,Ball,1,0,ball_0,train
2.5125567127339217,4.037556171417236,1.6069512584350614,1.511981847082176,1505.9049678335384,416.44658246821984,0.11225293319621694,6002.0,2122.180908203125,Ball,1,0,ball_0,train
2.477475474728109,3.9989356994628906,1.6141171689708673,1.5116553643272725,1707.8314636455868,1465.6755718391705,0.09168974239507703,6002.0,2126.369140625,Ball,1,0,ball_0,train
2.4264719554556726,3.9701361656188965,1.6361764069403124,1.5016999853552577,150.78138850459757,5748.8609468934665,0.07965335603885784,5932.0,2061.46337890625,Ball,1,0,ball_0,train
2.3824637556743133,3.7663588523864746,1.5808672192456816,1.4952313422891013,268.24215027639895,10622.738538702955,0.09793677276553445,5933.0,1966.217041015625,Ball,1,0,ball_0,train
2.3576537693157986,3.687502384185791,1.5640559407736616,1.491593074170758,200.88257454264607,4993.054767001194,0.07289359302100083,6002.0,1844.2752685546875,Ball,1,0,ball_0,train
2.3560071195064904,3.646702766418457,1.547831810959182,1.4941399851794555,276.46834774013473,12412.264622496885,0.06745890638908664,6002.0,1718.217041015625,Ball,1,0,ball_0,train
2.361434959368716,3.6625962257385254,1.5510044903873403,1.4941419205921915,688.4429894330254,948.984908344286,0.06921740281957289,6002.0,1608.9661865234375,Ball,1,0,ball_0,train
2.3704220012789143,3.6848816871643066,1.554525601422954,1.4946243672758583,586.0278966567021,311.44167881078397,0.06986090001708938,6002.0,1470.233642578125,Ball,1,0,ball_0,train
2.38637682135852,3.871957778930664,1.6225257236308683,1.496970904856249,3262.052408691954,110.12152667846357,0.07867905731063739,18.0,1362.3697509765625,Ball,1,0,ball_0,train
2.409803390811609,3.899385929107666,1.618134468552795,1.4985472930649912,1520.9167310607506,70.64766428812483,0.08960765815787879,17.0,1310.3804931640625,Ball,1,0,ball_0,train
2.4202231685838496,3.899385929107666,1.6111679202663456,1.4997570786650416,1682.1867310486905,86.63832529890759,0.08698540746555138,16.0,1318.7706298828125,Ball,1,0,ball_0,train
2.4561738972298306,4.002707481384277,1.6296515022404106,1.5017899764678684,647.8959665232396,31.432809363448193,0.09791232159947454,6002.0,1397.646728515625,Ball,1,0,ball_0,train
2.495097423711915,4.002707481384277,1.6042289344475842,1.4984267123335469,871.7542056148476,3.8182923194438003,0.1114149015099633,6002.0,1530.591796875,Ball,1,0,ball_0,train
2.491957092371442,3.9374427795410156,1.5800604238309714,1.50265602873012,16268.433078536138,280.1727684539629,0.09695836901932212,6002.0,1646.5660400390625,Ball,1,0,ball_0,train
2.494129009396524,3.9710426330566406,1.5921560665450376,1.5050495933079047,1346.0920541774992,106.16183932960165,0.11252660872500907,6002.0,1771.0135498046875,Ball,1,0,ball_0,train
2.4903443579143114,3.9710426330566406,1.5945757141724886,1.5071209580712512,1746.1687669719845,68.02701838349613,0.10152017969658075,6002.0,1896.011962890625,Ball,1,0,ball_0,train
2.4918316314854234,3.9514999389648438,1.5857812739174866,1.5071544613108339,212.96162281585347,1703.2004616814136,0.10885717874904678,6002.0,2011.24365234375,Ball,1,0,ball_0,train
2.497825982163755,4.039613246917725,1.6172516723596526,1.5090905759852833,3522.9307708414053,1689.8343874553962,0.10281146066196893,6002.0,2136.446044921875,Ball,1,0,ball_0,train
2.501471359082589,4.039613246917725,1.614894862677639,1.5113538030540377,1205.5624561833047,1075.7105332560388,0.10615613025703027,6002.0,2262.59375,Ball,1,0,ball_0,train
2.4983263724461073,3.9449853897094727,1.5790512533584409,1.5111798203953255,12371.890586591278,4855.730157454273,0.10402977006527502,6002.0,2318.5,Ball,1,0,ball_0,train
2.4923401914941627,3.9377856254577637,1.5799551116242496,1.5127431349403888,540.1942490249374,11461.890074832625,0.09813747302516078,6002.0,2329.125,Ball,1,0,ball_0,train
